City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,71.65,88,0,14.97,PE,1703991707
1,adamstown,-25.066,-130.1015,72.97,79,82,15.99,PN,1703991418
2,ribeira grande,38.5167,-28.7,55.78,76,75,4.0,PT,1703991505
3,port-aux-francais,-49.35,70.2167,40.86,83,87,35.75,TF,1703991709
4,mili,6.0815,171.735,82.78,81,94,14.03,MH,1703991709
5,puerto natales,-51.7236,-72.4875,45.63,93,100,5.06,CL,1703991531
6,paragominas,-2.9667,-47.4833,72.32,98,100,1.54,BR,1703991711
7,hawaiian paradise park,19.5933,-154.9731,74.88,80,100,10.36,US,1703991573
8,lihue,21.9789,-159.3672,78.04,72,7,7.38,US,1703991713
9,bethel,41.3712,-73.414,39.02,75,44,8.23,US,1703991717
10,rouissat,31.9243,5.3502,48.27,81,0,4.61,DZ,1703991719
11,bredasdorp,-34.5322,20.0403,67.8,94,100,12.01,ZA,1703991720
12,sittwe,20.15,92.9,71.76,73,73,5.5,MM,1703991722
13,crane,31.3974,-102.3501,52.88,23,100,6.87,US,1703991725
14,taltal,-25.4,-70.4833,66.79,77,21,5.06,CL,1703991693
15,west island,-12.1568,96.8225,84.18,74,74,19.57,CC,1703991726
16,kristiansund,63.1115,7.732,27.25,80,44,8.05,NO,1703991731
17,papatowai,-46.5619,169.4708,58.23,53,10,18.52,NZ,1703991734
18,guabiraba,-8.4167,-35.6667,70.74,91,14,3.62,BR,1703991735
19,mahibadhoo,3.7833,72.9667,77.59,93,100,18.84,MV,1703991737
20,longyearbyen,78.2186,15.6401,30.04,69,75,6.91,SJ,1703991738
21,pathein,16.7833,94.7333,78.39,59,39,6.13,MM,1703991739
22,port alfred,-33.5906,26.891,65.17,98,100,12.28,ZA,1703991740
23,thompson,55.7435,-97.8558,1.56,85,40,0.0,CA,1703991635
24,port mathurin,-19.6833,63.4167,81.54,76,97,4.88,MU,1703991517
25,vyalikaya byerastavitsa,53.196,24.0166,34.45,90,60,9.89,BY,1703991742
26,tiksi,71.6872,128.8694,-27.94,97,100,7.05,RU,1703991561
27,san buenaventura,27.0833,-101.5333,62.47,31,24,1.61,MX,1703991743
28,haiku-pauwela,20.9219,-156.3051,75.25,73,21,5.01,US,1703991744
29,edinburgh of the seven seas,-37.0676,-12.3116,64.4,95,22,19.51,SH,1703991745
30,ust-nera,64.5667,143.2,-48.91,98,73,3.38,RU,1703991746
31,buka,40.8108,69.1986,33.39,57,0,1.01,UZ,1703991746
32,grytviken,-54.2811,-36.5092,30.47,73,70,5.97,GS,1703991747
33,isafjordur,66.0755,-23.124,25.03,83,100,8.52,IS,1703991748
34,vilyuchinsk,52.9306,158.4028,12.47,78,79,9.69,RU,1703991749
35,kruisfontein,-34.0033,24.7314,66.88,97,100,9.91,ZA,1703991750
36,waddan,29.1614,16.139,51.58,64,1,5.08,LY,1703991751
